correct_sentence,gt
তাঁর মৃত্যুতে গভীর শোক ও দুঃখ প্রকাশ করেছেন বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর,তাঁর মৃত্যুতে গভীর শোক ও দুঃখ প্রকাশ করেছেন বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীর
"কিন্তু সেটা কি তাঁর মনের কথা? এএফপি, সিডনি মর্নিং হেরাল্ড","কিন্তু সেটা কি তাঁর মনের কথা? এএফপি, সিডনি মর্নিং হেরাল্ড"
"তাই যখন ছোটখাটো কোনো সহযোগিতামূলক কাজ করবেন, চুপিসারে করাই ভালো","তাই যখন ছোটখাটো কোনো সহযোগিতামূলক কাজ করবেন, চুপিসারে করাই ভালো"
শিবিরের ছেলেরা বোমাগুলো সেখানে রেখেছে বলে আমাদের কাছে তথ্য রয়েছে,শিবিরের ছেলেরা বোমাগুলো সেখানে রেখেছে বলে আমাদের কাছে তথ্য রয়েছে
আজ কারও কারও মনে প্রেমের ছোঁয়া লাগতে পারে,আজ কারও কারও মনে প্রেমের ছোঁয়া লাগতে পারে
"বিশ্ব স্বাস্থ্য সংস্থার ২০১৪ সালের তথ্য অনুযায়ী, আত্মহত্যার ঘটনার দিক থেকে বিশ্বে বাংলাদেশের অবস্থান দশম","বিশ্ব স্বাস্থ্য সংস্থার ২০১৪ সালের তথ্য অনুযায়ী, আত্মহত্যার ঘটনার দিক থেকে বিশ্বে বাংলাদেশের অবস্থান দশম"
"আমি এখনো দুজন উচ্চশিক্ষিত, ভালো রেজাল্ট, এমন তরুণীর সিভি নিয়ে ঘুরছি","আমি এখনো দুজন উচ্চশিক্ষিত, ভালো রেজাল্ট, এমন তরুণীর সিভি নিয়ে ঘুরছি"
এই দীর্ঘ সময়ে মনোনিবেশ নাও ঘটতে পারে শিশুদের মধ্যে,এই দীর্ঘ সময়ে মনোনিবেশ নাও ঘটতে পারে শিশুদের মধ্যে
ভাঙা ঘরের দীর্ঘ সারি,ভাঙা ঘরের দীর্ঘ সারি
আগে কিন্তু আমরা আক্রমণকে অনেক বেশি গুরুত্বের সঙ্গে দেখতাম,আগে কিন্তু আমরা আক্রমণকে অনেক বেশি গুরুত্বের সঙ্গে দেখতাম
"উসখুস চুল, গালে খোঁচা খোঁচা দাড়িতে দেখা গেলেও পরিষ্কার-পরিচ্ছন্ন ও ফিটফাট থাকতে পছন্দ করেন","উসখুস চুল, গালে খোঁচা খোঁচা দাড়িতে দেখা গেলেও পরিষ্কার-পরিচ্ছন্ন ও ফিটফাট থাকতে পছন্দ করেন"
শান্তিপূর্ণ পরিবেশে নির্বাচন অনুষ্ঠিত হয়েছে,শান্তিপূর্ণ পরিবেশে নির্বাচন অনুষ্ঠিত হয়েছে
"ঝঞ্ঝাবিক্ষুব্ধ সময়ে শান্তি পুনরুদ্ধারে ও মধ্যপ্রাচ্যের গণতন্ত্র সুরক্ষায় যুক্তরাষ্ট্রের উচিত হবে এরদোয়ানের মতো একজন একনায়ককে পাত্তা না দেওয়া, যিনি তাঁর বিরুদ্ধে পরিচালিত এক ব্যর্থ অভ্যুত্থানকে সাংবিধানিক সরকারের বিরুদ্ধে অভ্যুত্থানে পরিণত করছেন, যার নেতা স্বয়ং তিনি","ঝঞ্ঝাবিক্ষুব্ধ সময়ে শান্তি পুনরুদ্ধারে ও মধ্যপ্রাচ্যের গণতন্ত্র সুরক্ষায় যুক্তরাষ্ট্রের উচিত হবে এরদোয়ানের মতো একজন একনায়ককে পাত্তা না দেওয়া, যিনি তাঁর বিরুদ্ধে পরিচালিত এক ব্যর্থ অভ্যুত্থানকে সাংবিধানিক সরকারের বিরুদ্ধে অভ্যুত্থানে পরিণত করছেন, যার নেতা স্বয়ং তিনি"
অলিম্পিয়াকসের সামনে ১৯৯৯ সালের পর প্রথমবার চ্যাম্পিয়নস লিগের কোয়ার্টার ফাইনালের হাতছানি,অলিম্পিয়াকসের সামনে ১৯৯৯ সালের পর প্রথমবার চ্যাম্পিয়নস লিগের কোয়ার্টার ফাইনালের হাতছানি
এসব অভ্যন্তরীণ উদ্বাস্তু তৈরির মূলে রয়েছে পূর্ব ও পশ্চিমাঞ্চলের ক্ষমতার দ্বন্দ্ব,এসব অভ্যন্তরীণ উদ্বাস্তু তৈরির মূলে রয়েছে পূর্ব ও পশ্চিমাঞ্চলের ক্ষমতার দ্বন্দ্ব
ভারতে শরণার্থীদের জন্য কোনো আইন নেই,ভারতে শরণার্থীদের জন্য কোনো আইন নেই
"তবে পল্লবী থানার উপপরিদর্শক (এসআই) আবদুল হালিম প্রথম আলোকে বলেন, ওই বাসায় গিয়ে কোনো গ্যাস সিলিন্ডার পাওয়া যায়নি","তবে পল্লবী থানার উপপরিদর্শক (এসআই) আবদুল হালিম প্রথম আলোকে বলেন, ওই বাসায় গিয়ে কোনো গ্যাস সিলিন্ডার পাওয়া যায়নি"
"স্থানীয় সংবাদমাধ্যম সূত্রে জানা গেছে, মামলার নথি-তথ্যপ্রমাণ চাওয়া হবে সিবিআইয়ের (ভারতের কেন্দ্রীয় তদন্ত সংস্থা) কাছে","স্থানীয় সংবাদমাধ্যম সূত্রে জানা গেছে, মামলার নথি-তথ্যপ্রমাণ চাওয়া হবে সিবিআইয়ের (ভারতের কেন্দ্রীয় তদন্ত সংস্থা) কাছে"
"তবে নিজেদের সেরা দিনে কোনো বড় নামে কাজ হয় না, সেটিও মনে করিয়ে দিলেন বাংলাদেশ-সেরা অলরাউন্ডার, ‘ভারত খুবই ভালো দল","তবে নিজেদের সেরা দিনে কোনো বড় নামে কাজ হয় না, সেটিও মনে করিয়ে দিলেন বাংলাদেশ-সেরা অলরাউন্ডার, ‘ভারত খুবই ভালো দল"
কিন্তু দুটি আইনই ব্যাপকভাবে লঙ্ঘিত হচ্ছে; বস্তুত দেশের অধিকাংশ মানুষেরই এ দুটি আইন সম্পর্কে কোনো ধারণা নেই,কিন্তু দুটি আইনই ব্যাপকভাবে লঙ্ঘিত হচ্ছে; বস্তুত দেশের অধিকাংশ মানুষেরই এ দুটি আইন সম্পর্কে কোনো ধারণা নেই
কিন্তু দাবা ভালোবেসে এই কষ্টটা হাসিমুখে মেনে নিয়েছে সে,কিন্তু দাবা ভালোবেসে এই কষ্টটা হাসিমুখে মেনে নিয়েছে সে
তারা নিজস্ব তহবিল দিয়ে অনেক সময় ছোট ছোট প্রকল্প নেয় বা কেনাকাটা করে,তারা নিজস্ব তহবিল দিয়ে অনেক সময় ছোট ছোট প্রকল্প নেয় বা কেনাকাটা করে
২৭ রানে জো রুটও ফিরে গেলে একটু বিপদেই পড়ে যায় ইংল্যান্ড,২৭ রানে জো রুটও ফিরে গেলে একটু বিপদেই পড়ে যায় ইংল্যান্ড
"বিশেষ করে, যারা দূর থেকে প্রতিদিন পায়ে হেঁটে স্কুলে আসে, তাদের বেছে নেওয়া হয়","বিশেষ করে, যারা দূর থেকে প্রতিদিন পায়ে হেঁটে স্কুলে আসে, তাদের বেছে নেওয়া হয়"
"প্রত্যক্ষদর্শীরা জানান, দুর্বৃত্তরা সংখ্যায় আট থেকে ১০ জন ছিল","প্রত্যক্ষদর্শীরা জানান, দুর্বৃত্তরা সংখ্যায় আট থেকে ১০ জন ছিল"
"স্বজনদের অভিযোগ, ওই ছাত্রীরা নিখোঁজ হওয়ার পর পরিবারগুলোকে আশ্বাস দিয়েও পুলিশ তাদের উদ্ধারে কার্যকর কোনো পদক্ষেপ নেয়নি","স্বজনদের অভিযোগ, ওই ছাত্রীরা নিখোঁজ হওয়ার পর পরিবারগুলোকে আশ্বাস দিয়েও পুলিশ তাদের উদ্ধারে কার্যকর কোনো পদক্ষেপ নেয়নি"
এবারই প্রথম এই চরিত্র নিয়ে চলচ্চিত্র তৈরি হয়েছে,এবারই প্রথম এই চরিত্র নিয়ে চলচ্চিত্র তৈরি হয়েছে
"খালেদা জিয়ার উদ্দেশে তোফায়েল বলেন, ‘সন্তান মারা যাওয়ার পর আপনার চোখে পানি দেখেছি","খালেদা জিয়ার উদ্দেশে তোফায়েল বলেন, ‘সন্তান মারা যাওয়ার পর আপনার চোখে পানি দেখেছি"
"অন্যদিকে আইএমএফ বলেছে, চলতি অর্থবছরে বাংলাদেশের জিডিপি প্রবৃদ্ধি ৬ দশমিক ৩ শতাংশ হবে","অন্যদিকে আইএমএফ বলেছে, চলতি অর্থবছরে বাংলাদেশের জিডিপি প্রবৃদ্ধি ৬ দশমিক ৩ শতাংশ হবে"
"বিশ্বব্যাংক বলেছে, গত বছরের সহিংস ও ধ্বংসাত্মক রাজনৈতিক কর্মকাণ্ড বাংলাদেশের প্রবৃদ্ধি থেকে ১ শতাংশ খেয়ে ফেলেছে","বিশ্বব্যাংক বলেছে, গত বছরের সহিংস ও ধ্বংসাত্মক রাজনৈতিক কর্মকাণ্ড বাংলাদেশের প্রবৃদ্ধি থেকে ১ শতাংশ খেয়ে ফেলেছে"
"এরশাদের সঙ্গে আদালতে আসেন তাঁর ভাই গোলাম কাদের, পানিসম্পদমন্ত্রী আনিসুল ইসলাম মাহমুদ, পল্লী উন্নয়ন ও সমবায় প্রতিমন্ত্রী মসিউর রহমান, জাতীয় পার্টির সাবেক মহাসচিব জিয়াউদ্দিন বাবলু","এরশাদের সঙ্গে আদালতে আসেন তাঁর ভাই গোলাম কাদের, পানিসম্পদমন্ত্রী আনিসুল ইসলাম মাহমুদ, পল্লী উন্নয়ন ও সমবায় প্রতিমন্ত্রী মসিউর রহমান, জাতীয় পার্টির সাবেক মহাসচিব জিয়াউদ্দিন বাবলু"
"উপজেলা আওয়ামী লীগের সভাপতি আবদুল বাতেনের সভাপতিত্বে গতকাল বেলা ১১টায় শুরু হওয়া সভায় উপজেলা, পৌর ও ইউনিয়ন পর্যায়ের নেতা-কর্মীরা উপস্থিত ছিলেন","উপজেলা আওয়ামী লীগের সভাপতি আবদুল বাতেনের সভাপতিত্বে গতকাল বেলা ১১টায় শুরু হওয়া সভায় উপজেলা, পৌর ও ইউনিয়ন পর্যায়ের নেতা-কর্মীরা উপস্থিত ছিলেন"
কিশোরগঞ্জের নিকলী উপজেলা কমপ্লেক্স চত্বরে গতকাল বুধবার দুপুরে যুব ও ক্রীড়া মন্ত্রণালয়ের যুগ্ম সচিব দিল মোহাম্মদের গাড়ির নিচে চাপা পড়ে আবুল হোসেন (৮৫) নামে এক বৃদ্ধ মারা গেছেন,কিশোরগঞ্জের নিকলী উপজেলা কমপ্লেক্স চত্বরে গতকাল বুধবার দুপুরে যুব ও ক্রীড়া মন্ত্রণালয়ের যুগ্ম সচিব দিল মোহাম্মদের গাড়ির নিচে চাপা পড়ে আবুল হোসেন (৮৫) নামে এক বৃদ্ধ মারা গেছেন
এই জয়ে পয়েন্ট টেবিলের তিন নম্বরে তুলে এনেছে ইন্টার মিলানকে,এই জয়ে পয়েন্ট টেবিলের তিন নম্বরে তুলে এনেছে ইন্টার মিলানকে
"মুক্তির পর থেকেই চাঙা ব্যবসা করছে, আলোচনায় আছে ছবির গল্প, নির্মাণ আর সবার অভিনয়","মুক্তির পর থেকেই চাঙা ব্যবসা করছে, আলোচনায় আছে ছবির গল্প, নির্মাণ আর সবার অভিনয়"
"সড়ক ও জনপদ (সওজ) বিভাগ এবং স্থানীয় সূত্রে জানা গেছে, ওই এলাকার তিতাস গ্যাসের সরবরাহ লাইনের পাইপ মহাসড়কের ওপর দিয়ে গাজীপুরের দিকে গেছে","সড়ক ও জনপদ (সওজ) বিভাগ এবং স্থানীয় সূত্রে জানা গেছে, ওই এলাকার তিতাস গ্যাসের সরবরাহ লাইনের পাইপ মহাসড়কের ওপর দিয়ে গাজীপুরের দিকে গেছে"
বনদস্যুদের শনাক্ত করার চেষ্টা চলছে,বনদস্যুদের শনাক্ত করার চেষ্টা চলছে
খুলনা টাইটানসের জার্সির দিকে চোখ রাখতে ভুলবেন না,খুলনা টাইটানসের জার্সির দিকে চোখ রাখতে ভুলবেন না
"সামাজিক ও অর্থনৈতিক ক্ষেত্রে অব্যাহতভাবে যে পরিবর্তন ঘটে চলেছে, তার অনিবার্য পরিণতি হিসেবেই এমনটি হচ্ছে","সামাজিক ও অর্থনৈতিক ক্ষেত্রে অব্যাহতভাবে যে পরিবর্তন ঘটে চলেছে, তার অনিবার্য পরিণতি হিসেবেই এমনটি হচ্ছে"
উদ্বোধনী অনুষ্ঠানে প্রধান অতিথি ছিলেন নওগাঁর জেলা প্রশাসক মো. এনামুল হক,উদ্বোধনী অনুষ্ঠানে প্রধান অতিথি ছিলেন নওগাঁর জেলা প্রশাসক মো. এনামুল হক
এই অ্যাক্টে বা আইনে নির্দেশ জারি করা হয়েছিল যে বিনা সরকারি অনুমোদনে সরকারি নীতিসংক্রান্ত কোনো সংবাদ বা আলোচনা সাময়িক পত্রিকায় প্রকাশ করা যাবে না,এই অ্যাক্টে বা আইনে নির্দেশ জারি করা হয়েছিল যে বিনা সরকারি অনুমোদনে সরকারি নীতিসংক্রান্ত কোনো সংবাদ বা আলোচনা সাময়িক পত্রিকায় প্রকাশ করা যাবে না
এ ঘটনায় ওই ছাত্রীর বাবা বাদী হয়ে গত শনিবার রাতে থানায় মামলা করেন,এ ঘটনায় ওই ছাত্রীর বাবা বাদী হয়ে গত শনিবার রাতে থানায় মামলা করেন
বুধবার বেলা একটার দিকে একদল তরুণ শাকিলকে পৌর শহরের ছয়গন্ডা এলাকায় ইট দিয়ে আঘাত করে মাথা থেঁতলে দেন,বুধবার বেলা একটার দিকে একদল তরুণ শাকিলকে পৌর শহরের ছয়গন্ডা এলাকায় ইট দিয়ে আঘাত করে মাথা থেঁতলে দেন
জেলায় পাঁচটি আসন থাকলেও ভোট গ্রহণ হয় চারটি আসনে,জেলায় পাঁচটি আসন থাকলেও ভোট গ্রহণ হয় চারটি আসনে
দ্য টেলিগ্রাফ,দ্য টেলিগ্রাফ
"তিনি বলেন, ‘উইন্ড অব চেঞ্জ বিশ্বের সবচেয়ে বড় মিউজিক কোলাবরেশন প্রজেক্ট","তিনি বলেন, ‘উইন্ড অব চেঞ্জ বিশ্বের সবচেয়ে বড় মিউজিক কোলাবরেশন প্রজেক্ট"
৫. এই সনদে দেশের ছোট-বড় সব রাজনৈতিক দল ও সংগঠন স্বাক্ষর করবে,৫. এই সনদে দেশের ছোট-বড় সব রাজনৈতিক দল ও সংগঠন স্বাক্ষর করবে
"কারণ, বায়ুমণ্ডলের অতিরিক্ত তাপমাত্রা শোষণ করার মতো প্রয়োজনীয় সফট সারফেজ (মাটি) আমরা হারাচ্ছি দিন দিন","কারণ, বায়ুমণ্ডলের অতিরিক্ত তাপমাত্রা শোষণ করার মতো প্রয়োজনীয় সফট সারফেজ (মাটি) আমরা হারাচ্ছি দিন দিন"
এমনকি কলম্বোর নামও রয়েছে,এমনকি কলম্বোর নামও রয়েছে
অর্থাৎ প্রতিটি ডিমের পাইকারি মূল্য সাড়ে সাত থেকে পৌনে আট টাকা,অর্থাৎ প্রতিটি ডিমের পাইকারি মূল্য সাড়ে সাত থেকে পৌনে আট টাকা
দুই নারীর কেউই কোনো পক্ষের হয়ে সংঘর্ষে জড়াননি,দুই নারীর কেউই কোনো পক্ষের হয়ে সংঘর্ষে জড়াননি
গোটা দেশের মানুষ এই ইস্যুতে এক হয়েছে,গোটা দেশের মানুষ এই ইস্যুতে এক হয়েছে
"ব্যাটসম্যানদের জন্য এটা চ্যালেঞ্জিং হচ্ছে, সেটাও খারাপ নয়","ব্যাটসম্যানদের জন্য এটা চ্যালেঞ্জিং হচ্ছে, সেটাও খারাপ নয়"
তাদের প্রায় এক-চতুর্থাংশ শিশু,তাদের প্রায় এক-চতুর্থাংশ শিশু
বাংলাদেশকে প্লে-অফের পরের ম্যাচ খেলতে হবে ভুটানের সঙ্গে,বাংলাদেশকে প্লে-অফের পরের ম্যাচ খেলতে হবে ভুটানের সঙ্গে
"শুধু বলব, ১৯৭৫ সালের হত্যাকাণ্ডগুলো এবং ২০০৪ সালের ২১ আগস্টের হত্যাকাণ্ড ও শেখ হাসিনাকে হত্যাচেষ্টার বিষয় বিবেচনায় নিলে বিএনপির ওপর দায়মোচনের দায় এসে পড়ে","শুধু বলব, ১৯৭৫ সালের হত্যাকাণ্ডগুলো এবং ২০০৪ সালের ২১ আগস্টের হত্যাকাণ্ড ও শেখ হাসিনাকে হত্যাচেষ্টার বিষয় বিবেচনায় নিলে বিএনপির ওপর দায়মোচনের দায় এসে পড়ে"
গত ২১ মে ৭১ সদস্যবিশিষ্ট কার্যনির্বাহী কমিটি ও ২১ সদস্যবিশিষ্ট উপদেষ্টা পরিষদ দলের সভানেত্রী শেখ হাসিনা অনুমোদন দেন,গত ২১ মে ৭১ সদস্যবিশিষ্ট কার্যনির্বাহী কমিটি ও ২১ সদস্যবিশিষ্ট উপদেষ্টা পরিষদ দলের সভানেত্রী শেখ হাসিনা অনুমোদন দেন
গত বৃহস্পতিবার (২১ মে) রাতে অস্ত্রের মুখে মাইক্রোবাসে তুলে ধর্ষণের অভিযোগে পরদিন দুপুরে ওই আদিবাসী তরুণী রাজধানীর ভাটারা থানায় মামলা করেন,গত বৃহস্পতিবার (২১ মে) রাতে অস্ত্রের মুখে মাইক্রোবাসে তুলে ধর্ষণের অভিযোগে পরদিন দুপুরে ওই আদিবাসী তরুণী রাজধানীর ভাটারা থানায় মামলা করেন
"আবেদনপত্র পাঠানোর ঠিকানা: ডিএম, আশা-নারায়ণগঞ্জ জেলা, ৪৭/৮, হাজি ব্রাদার্স রোড, (সরকার ম্যানশন), নিউ চাষাঢ়া, জাতলা, নারায়ণগঞ্জ","আবেদনপত্র পাঠানোর ঠিকানা: ডিএম, আশা-নারায়ণগঞ্জ জেলা, ৪৭/৮, হাজি ব্রাদার্স রোড, (সরকার ম্যানশন), নিউ চাষাঢ়া, জাতলা, নারায়ণগঞ্জ"
পুরান ঢাকার চকবাজার শাহি মসজিদের সামনের সড়কের দৃশ্য এটি,পুরান ঢাকার চকবাজার শাহি মসজিদের সামনের সড়কের দৃশ্য এটি
বাড়ি কিশোরগঞ্জের হেমন্তগঞ্জের মিঠাইমনা গ্রামে,বাড়ি কিশোরগঞ্জের হেমন্তগঞ্জের মিঠাইমনা গ্রামে
অতীতে যে কথা বলা হয়েছে তাই পুনরায় স্মরণ করিয়ে দেওয়া,অতীতে যে কথা বলা হয়েছে তাই পুনরায় স্মরণ করিয়ে দেওয়া
সিরাজগঞ্জের রায়গঞ্জে আচরণবিধি লঙ্ঘন করায় ১১ মোটরসাইকেল চালককে জরিমানা করেছেন ভ্রাম্যমাণ আদালত,সিরাজগঞ্জের রায়গঞ্জে আচরণবিধি লঙ্ঘন করায় ১১ মোটরসাইকেল চালককে জরিমানা করেছেন ভ্রাম্যমাণ আদালত
"শ্যামলী কাউন্টারের স্টাফ আনোয়ার হোসেন প্রথম আলোকে বলেন, ‘বাস বেশিক্ষণ থাকে না","শ্যামলী কাউন্টারের স্টাফ আনোয়ার হোসেন প্রথম আলোকে বলেন, ‘বাস বেশিক্ষণ থাকে না"
২৭ ঘণ্টা অবরুদ্ধ থাকার পর বিমানবন্দর এলাকা তালেবান কবজা থেকে মুক্ত করেছেন আফগান সেনারা,২৭ ঘণ্টা অবরুদ্ধ থাকার পর বিমানবন্দর এলাকা তালেবান কবজা থেকে মুক্ত করেছেন আফগান সেনারা
এবার হজযাত্রীদের সৌদি আরবে যাওয়ার শেষ ফ্লাইট ২৫ আগস্ট,এবার হজযাত্রীদের সৌদি আরবে যাওয়ার শেষ ফ্লাইট ২৫ আগস্ট
এ কারণে দেশ-বিদেশে অবস্থানরত বাংলাদেশি নাগরিকদের এমআরপি নিতে বলা হয়েছে,এ কারণে দেশ-বিদেশে অবস্থানরত বাংলাদেশি নাগরিকদের এমআরপি নিতে বলা হয়েছে
এ ছাড়া টিভিতে ফুটবল লিগের খেলা মাঝেমধ্যে দেখা হয়,এ ছাড়া টিভিতে ফুটবল লিগের খেলা মাঝেমধ্যে দেখা হয়
গতবারই গাছটিতে প্রথম আম ধরে,গতবারই গাছটিতে প্রথম আম ধরে
"যদি কোনো কারণে তা রাখাও হয়, তবে সেটা হতে পারে শুধু পশ্চাৎপদ জেলাগুলোর জন্য এবং থোকে","যদি কোনো কারণে তা রাখাও হয়, তবে সেটা হতে পারে শুধু পশ্চাৎপদ জেলাগুলোর জন্য এবং থোকে"
"মিয়ানমারের নৌবাহিনীও বলছে, তারা ভাসমান ওই জাহাজের মাস্তুলের সঙ্গে দুটি কেবল (লোহার দড়ি) বাঁধা অবস্থায় পেয়েছে","মিয়ানমারের নৌবাহিনীও বলছে, তারা ভাসমান ওই জাহাজের মাস্তুলের সঙ্গে দুটি কেবল (লোহার দড়ি) বাঁধা অবস্থায় পেয়েছে"
সান্তিয়াগো বার্নাব্যুতে শুরুতেই রিয়াল সমর্থকদের বুকের ধুকপুকানি বেড়ে যায়,সান্তিয়াগো বার্নাব্যুতে শুরুতেই রিয়াল সমর্থকদের বুকের ধুকপুকানি বেড়ে যায়
"বিবৃতিতে বলা হয়, ‘জ্বালানি খাতে তিমশেঙ্কোর কর্মকাণ্ড সরাসরি পুতিনের সঙ্গে সম্পৃক্ত","বিবৃতিতে বলা হয়, ‘জ্বালানি খাতে তিমশেঙ্কোর কর্মকাণ্ড সরাসরি পুতিনের সঙ্গে সম্পৃক্ত"
জেসিসি বৈঠকের আগে পররাষ্ট্রমন্ত্রী মোমেন ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদীর সঙ্গে সৌজন্য সাক্ষাৎ করবেন,জেসিসি বৈঠকের আগে পররাষ্ট্রমন্ত্রী মোমেন ভারতের প্রধানমন্ত্রী নরেন্দ্র মোদীর সঙ্গে সৌজন্য সাক্ষাৎ করবেন
কিন্তু সরকার জাতিসংঘের এই উদ্যোগে সাড়া দেওয়ার চেয়ে কালক্ষেপণ করায় শেষ পর্যন্ত জাতিসংঘ মহাসচিবের প্রয়াস সফল হয়নি,কিন্তু সরকার জাতিসংঘের এই উদ্যোগে সাড়া দেওয়ার চেয়ে কালক্ষেপণ করায় শেষ পর্যন্ত জাতিসংঘ মহাসচিবের প্রয়াস সফল হয়নি
এই খবর পেয়ে রাঙ্গুনিয়া ফায়ার স্টেশনের কর্মীরা ঘটনাস্থলে যান,এই খবর পেয়ে রাঙ্গুনিয়া ফায়ার স্টেশনের কর্মীরা ঘটনাস্থলে যান
আমরা তো নিয়মের বাইরে যেতে পারি না,আমরা তো নিয়মের বাইরে যেতে পারি না
এ ঘটনায় সোমবার রাতেই ভান্ডারিয়া থানার সহকারী উপপরিদর্শক (এএসআই) আবুল বাশারকে প্রত্যাহার করা হয়েছে,এ ঘটনায় সোমবার রাতেই ভান্ডারিয়া থানার সহকারী উপপরিদর্শক (এএসআই) আবুল বাশারকে প্রত্যাহার করা হয়েছে
জিন্নাহ অ্যাভিনিউতে অবস্থিত স্টুডিও-৮,জিন্নাহ অ্যাভিনিউতে অবস্থিত স্টুডিও-৮
সবাই এমনভাবে তাকাতেন যেন সব দোষ তাঁর,সবাই এমনভাবে তাকাতেন যেন সব দোষ তাঁর
পার্সি পালিয়ে আসে ইয়েতিদের হাত থেকে,পার্সি পালিয়ে আসে ইয়েতিদের হাত থেকে
আমেরিকায় গেছেন,আমেরিকায় গেছেন
"সিরাজগঞ্জ: যমুনা নদীর তীরবর্তী সিরাজগঞ্জ জেলা সদরসহ শাহজাদপুর, বেলকুচি, কাজীপুর ও চৌহালী উপজেলার ৩৫টি ইউনিয়নের লক্ষাধিক মানুষ পানিবন্দী হয়ে পড়েছে","সিরাজগঞ্জ: যমুনা নদীর তীরবর্তী সিরাজগঞ্জ জেলা সদরসহ শাহজাদপুর, বেলকুচি, কাজীপুর ও চৌহালী উপজেলার ৩৫টি ইউনিয়নের লক্ষাধিক মানুষ পানিবন্দী হয়ে পড়েছে"
বৃষ্টির কারণে কোনো রিকশা পাওয়া যাচ্ছিল না,বৃষ্টির কারণে কোনো রিকশা পাওয়া যাচ্ছিল না
অডিশন দিয়ে ফেরার পথে ঘটনাচক্রে দুজনের আলাপ হয়,অডিশন দিয়ে ফেরার পথে ঘটনাচক্রে দুজনের আলাপ হয়
গত তিন দিনে শিলাকোঠা তিনটি বাড়িতে ডাকাত দল হানা দেয়,গত তিন দিনে শিলাকোঠা তিনটি বাড়িতে ডাকাত দল হানা দেয়
গত সপ্তাহে ১১ টি লাশের পরিচয় শনাক্ত হয়,গত সপ্তাহে ১১ টি লাশের পরিচয় শনাক্ত হয়
বেশির ভাগই ক্রিকেটপ্রেমী,বেশির ভাগই ক্রিকেটপ্রেমী
এখানে তো প্রায়ই জটলা করতে হয় শ্রমিকদের,এখানে তো প্রায়ই জটলা করতে হয় শ্রমিকদের
অপহরণকারীরা তাঁর কানে ফোন ধরিয়ে দিলে তিনি তাঁর স্ত্রীকে টাকার বিষয়টি জানান,অপহরণকারীরা তাঁর কানে ফোন ধরিয়ে দিলে তিনি তাঁর স্ত্রীকে টাকার বিষয়টি জানান
স্মার্ট হোমের ধারণা তো এমনই,স্মার্ট হোমের ধারণা তো এমনই
তিনি নিজেই দুর্নীতির বিরুদ্ধে আন্দোলন এবং দরিদ্রদের অধিকারের বিষয় নিয়ে কথা বলার জন্য পরিচিত,তিনি নিজেই দুর্নীতির বিরুদ্ধে আন্দোলন এবং দরিদ্রদের অধিকারের বিষয় নিয়ে কথা বলার জন্য পরিচিত
তাই  চীনের জোটকে সঙ্গে নিয়ে বাজারে নতুন নতুন পণ্য যুক্ত করার পরিকল্পনা আমাদের রয়েছে,তাই  চীনের জোটকে সঙ্গে নিয়ে বাজারে নতুন নতুন পণ্য যুক্ত করার পরিকল্পনা আমাদের রয়েছে
"একে উত্তর আয়ারল্যান্ডের মাঠে খেলা, তারপর এ ম্যাচের আগে গত ৫২৫ মিনিট কোনো গোল খায়নি এই দলটি","একে উত্তর আয়ারল্যান্ডের মাঠে খেলা, তারপর এ ম্যাচের আগে গত ৫২৫ মিনিট কোনো গোল খায়নি এই দলটি"
সন্ধ্যায় সরকারপাড়া ও কাজীপাড়ার বাসিন্দারা সংঘবদ্ধ হয়ে কুমিল্লা-সিলেট মহাসড়কের পৈরতলা বাসস্ট্যান্ড এলাকায় সোহাগ বাস কাউন্টারসহ অন্তত ১০টি দোকান জ্বালিয়ে দেন এবং লুটপাট করেন,সন্ধ্যায় সরকারপাড়া ও কাজীপাড়ার বাসিন্দারা সংঘবদ্ধ হয়ে কুমিল্লা-সিলেট মহাসড়কের পৈরতলা বাসস্ট্যান্ড এলাকায় সোহাগ বাস কাউন্টারসহ অন্তত ১০টি দোকান জ্বালিয়ে দেন এবং লুটপাট করেন
তিনি সেই দৃষ্টিকোণ থেকে নিজেই বলেছেন তাঁর নিজেরই ভুল হয়েছে,তিনি সেই দৃষ্টিকোণ থেকে নিজেই বলেছেন তাঁর নিজেরই ভুল হয়েছে
দেখা যাচ্ছে যুক্তরাষ্ট্রে ট্রাম্প প্রশাসন আসার পর অভিবাসনবিরোধী বিভিন্ন পদক্ষেপ নেওয়া হচ্ছে,দেখা যাচ্ছে যুক্তরাষ্ট্রে ট্রাম্প প্রশাসন আসার পর অভিবাসনবিরোধী বিভিন্ন পদক্ষেপ নেওয়া হচ্ছে
চার জায়গায়ই ট্রাফিক সিগন্যালে আটকা পড়ে গাড়ি,চার জায়গায়ই ট্রাফিক সিগন্যালে আটকা পড়ে গাড়ি
গতকাল মঙ্গলবার বেলা দুইটা থেকে তিনটা পর্যন্ত এ অভিযান চলে,গতকাল মঙ্গলবার বেলা দুইটা থেকে তিনটা পর্যন্ত এ অভিযান চলে
