Error,Word
দ ক ি ন,দ ক ্ ষ ি ণ
স ্ ম য় ে,স ম য় ে
স া র ভ ি স,স া র ্ ভ ি স
স প ত,শ প থ
অ ভ ু থ া ন,অ ভ ্ য ু ত ্ থ া ন
হ য় ে চ ে,হ য ় ে ছ ে
অ ল ি ম ্ প ু ই ক ে,অ ল ি ম ্ প ি ক ে
প র ম া ন,প ্ র ম া ণ
ব র ু ন,ব র ু ণ
দ খ ি ন,দ ক ্ ষ ি ণ
দ ৃ শ ট া ন ্ ত ম ু ল ্ ক,দ ৃ ষ ্ ট া ন ্ ত ম ূ ল ক
ত ু ই ত ে,ট ু ই ট ে
ম ি ত া চ া র,ম ি থ ্ য া চ া র
স া খ া য়,শ া খ া য়
প ন ্ ন ক ে ও,প ণ ্ য ক ে ও
হ ্ য া ত ্ ত ্ র ি ক,হ ্ য া ট ্ ট ি ক
চ া ল ে ক,চ া ল ক
স ি র ি জ ে ড়,স ি র ি জ ে র
শ ক ে র,শ ো ক ে র
ব র দ া শ,ব র দ া শ ত
প দ া র ্ ত,প দ া র ্ থ
প ি য় া ই ব ি র,প ি আ ই ব ি র
ব া ত ্ ত ি ং ট া,ব ্ য া ট ি ং ট া
প র ি ব র ত ্ ন,প র ি ব র ্ ত ন
ব ে প ক ্ ষ ে,ব ি প ক ্ ষ ে
র া স ি চ ক ্ র,র া শ ি চ ক ্ র
আ ও থ া য়,আ ও ত া য়
ল য় ন ি ং,ল া য় ন ি ং
হ া স ্ প া ত া ল ে র,হ া স প া ত া ল ে র
ব ি শ শ জ ু র ে,ব ি শ ্ ব জ ু ড় ে
ব ি অ ্ য া ন প ি র,ব ি এ ন প ি র
প ্ র ত ি শ ু র ত ি,প ্ র ত ি শ ্ র ু ত ি
অ ধ ি ন ে,অ ধ ী ন
স া দ া র ন ্ ত,স া ধ া র ণ ত
ছ ু ড় া,চ ূ ড় া
স উ খ ি ন,শ ৌ খ ি ন
স থ ে,স া থ ে
ম ্ র ি ত ু ই,ম ৃ ত ্ য ু
শ ম ্ প ু র,স ম ্ প ূ র ্ ণ
ম ধ ্ য,ম ধ ্ য ে
প ্ র ি ত ি ব ে দ ন,প ্ র ত ি ব ে দ ন
অ ন ু ম দ ন,অ ন ু ম ো দ ন
ম হ ্ র া,ম হ ড় া
ব ে ত,ব ্ য া ট
প র দ া র,প র ্ দ া র
ত দ ন ্ ত ক া র ি র া,ত দ ন ্ ত ক া র ী র া
ফ ে ব া র ি ত,ফ ে ব া র ি ট
ব ি দ ্ দ া ল য় ে র,ব ি দ ্ য া ল য ় ে র
আ শ া ব া ধ ি,আ শ া ব া দ ী
ব স ি শ া ল,ব র ি শ া ল
এ স ে স স ি,এ এ স স ি
ব া র ি,ব া ড ় ি
ব া ঞ ্ চ া ল,ব া ন চ া ল
ক ে ও,ক ে উ
জ র ি ত দ ে র,জ ড় ি ত দ ে র
ক র ে ণ,ক র ে ন
প ক ্ র য় া,প ্ র ক ্ র ি য় া
অ ন ্ ত ত স ত ্ ত া,অ ন ্ ত ঃ স ্ ব ত ্ ত া
ক ে য় ে,খ ে য় ে
আ দ র শ ি ক,আ দ র ্ শ ি ক
ক ম ি,ক ম ই
র আ ন ে র,র া ন ে র
র া ঙ ্ গ া ব া ল ি গ া ম ি,র া ঙ ্ গ া ব া ল ী গ া ম ী
অ ন শ ি দ া র ি ত ্ ত,অ ং শ ী দ া র ি ত ্ ব
ম ন ভ ব ে র,ম ন ো ভ া ব ে র
প া ক ি স ্ ত া ণ ে র,প া ক ি স ্ ত া ন ে র
অ য় া ন,ও য় া ন
ট ো ব ে,ত ব ে
গ ন হ ত ্ ত া,গ ণ হ ত ্ য া
জ র ি ত,জ ড় ি ত
ব ি ও ছ র ে র,ব ছ র ে র
হ ি ঘ চ ম ্ ম ি স ি ও ন ে র,হ া ই ক ম ি শ ন ে র
ন ি য় ন ্ ত ্ র ন,ন ি য় ন ্ ত ্ র ণ
গ ম ্ ভ ি র,গ ম ্ ভ ী র
ম ্ র ি ত,ম ৃ ত
র া ত,ত া র
ব ি শ য় ে,ব ি ষ য় ে
অ ভ ি ন য়,অ ভ ি ন য় ও
প ধ া ন ্ ম ন ্ ত ্ র ি,প ্ র ধ া ন ম ন ্ ত ্ র ী
উ ন ্ ন য় ণ,উ ন ্ ন য় ন
ছ ই জ ন,ছ য় জ ন
ত া র আ,ত া র া
প ক খ ে,প ক ্ ষ ে
প দ ক ্ ক ে প,প দ ক ্ ষ ে প
ন া র া য় ্ ন গ ঞ ্ জ ব া স ী ক ে,ন া র া য় ণ গ ঞ ্ জ ব া স ী ক ে
উ ত শ ব ে,উ ৎ স ব ে
শ া ধ ি ন ত া,স ্ ব া ধ ী ন ত া
ম ু ন ্ স ি গ ঞ ্ জ,ম ু ন ্ স ী গ ঞ ্ জ
এ ল া ক া ব া স ি,এ ল া ক া ব া স ী
ব ল া র,ব ো ল া র
দ া,ড ে
ধ ে খ া,দ ে খ া
অ গ ্ র শ র,অ গ ্ র স র
স ্ থ ি ত ি শ ি ও ল ত া ই,স ্ থ ি ত ি শ ী ল ত া য়
শ ন ব া দ ্ ম া দ ্ দ ম,স ং ব া দ ম া ধ ্ য ম
ক ো ন,ক ো ন ও
অ ব ্ দ া ন অ,অ ব দ া ন ও
স ি থ ি ল,শ ি থ ি ল
অ ন ে ক ্ ষ ন,অ ন ে ক ক ্ ষ ণ
ল ে ফ ত ে ন ে ন ্ ত,ল ে ফ ট ে ন ্ য া ন ্ ট
ই স ল া ম,ই স ল া ম ি ক
ব য় জ ে শ ্ ত দ ে র,ব য ় ো জ ্ য ে ষ ্ ঠ দ ে র
দ া র ি দ ্ র ত া র,দ র ি দ ্ র ত া র
গ ু ম া ত ে,ঘ ু ম া ত ে
প র ন ত,প র ি ণ ত
স ঙ ্ গ ি ত,স ঙ ্ গ ী ত
চ ি ক ি থ স া র,চ ি ক ি ৎ স া র
প র জ ন ্ ত,প র ্ য ন ্ ত
র ি প ঙ ্ ক ে,র ি প ন ক ে
দ ি র গ,দ ী র ্ ঘ
ছ ি র,চ ি র
অ ন ু,অ ণ ু
ভ া জ ্ ঞ চ ্ র ম ে,ভ া গ ্ য ক ্ র ম ে
অ ন ু শ র ন,অ ন ু স র ণ
অ ই ল শ,প ল া শ
শ া ম ্ ন ে ই,স া ম ন ে ই
আ ত ক া,আ ট ক া
র ধ,র ো ধ
প া ক ি শ ্ ত া ন ে র,প া ক ি স ্ ত া ন ে র
খ ে ল ছ ে ন,খ ে ল ে ছ ে ন
গ শ া ল া,গ ো শ া ল া
স া র ব ি ক ভ া ব ে,স া র ্ ব ি ক ভ া ব ে
ব া ন ল া দ ে শ,ব া ং ল া দ ে শ
শ ু ন ্ ন ে,শ ূ ন ্ য ে
ই ং ল ্ য া ন ্ দ,ই ং ল ্ য া ন ্ ড
ম ু ন র ক ে,ম ু ন র ো ক ে
অ ধ ি ক ড় ী,অ ধ ি ক া র ী
ফ র ব ে স,ফ ো র ্ ব স
চ া ই ন ী জ,চ া য় ন ি জ
হ া জ,হ জ
হ া ই ল া ই ত স,হ া ই ল া ই ট স
শ ে স,শ ে ষ
স া ব ্ দ ি ন ত া র,স ্ ব া ধ ী ন ত া র
জ া ত ি স ং ঘ,জ া ত ি স ঙ ্ ঘ
ছ া হ ি দ া র,চ া হ ি দ া র
প া স স,প া শ
অ ন ু র ্ ধ ব ১ ৯,অ ন ূ র ্ ধ ্ ব ১ ৯
ন ি য় ম ্ র ক ্ ষ া র,ন ি য় ম র ক ্ ষ া র
শ ি ম া ন া য়,স ী ম া ন া য়
থ ি র দ,থ া র ্ ড
এ ক ি স ঙ ্ গ ে,এ ক ই স ঙ ্ গ ে
স ি ন হ,স ি ং হ
হ ো ল ে,হ ল ে
ব য়,র য়
স হ া ন ু ভ ু ত ি,স হ া ন ু ভ ূ ত ি
দ জ খ,দ ো য খ
ক ে ন া ক া ত া,ক ে ন া ক া ট া
ক ন,ক ো ন ও
ব ি ছ া র প ত ি,ব ি চ া র প ত ি
স ি এ ন এ ই চ ে,স ি এ ম এ ই চ ে
প া ত,প া ট
দ া য়,দ ে য়
ই ন ্ ট া র ফ ্ য া ক ছ ক ে,ই ন ্ ট া র ফ ্ য া ক ্ স ক ে
জ গ া চ ্ ছ ে,য ো গ া চ ্ ছ ে
চ ি ক ি ত শ ক ে র,চ ি ক ি ৎ স ক ে র
উ র জ া হ া জ ে,উ ড় ো জ া হ া জ ে
এ ত গ ু ল,এ ত ো গ ু ল ো
ধ ু ক ্ ত ে,ঢ ু ক ত ে
ন ি র ব া ছ ন ে,ন ি র ্ ব া চ ন ে র
গ প া ল ্ গ ঞ ্ জ,গ ো প া ল গ ঞ ্ জ
চ খ ে,চ ো খ ে
খ ম া র,ক ্ ষ ম া র
র ি দ ্ র গ,হ ৃ দ র ো গ
চ ি ক ি ত স ক,চ ি ক ি ৎ স ক
ন ে,ন া
এ স া ছ ে,এ স ে ছ ে
জ া ত ি ই য়,জ া ত ী য়
ঘ ত ্ ন া য়,ঘ ট ন া য়
ছ ু ত ে,ছ ু ট ে
স া ঁ জ া,স া জ া
চ া য় ন া,চ ী ন া
ভ য় ে,ভ য়
স ঙ ্ ক ত ে ই,স ঙ ্ ক ট ই
ব ল ্ ল,ব ল ল
দ দ ু ল ্ ল ম া ন,দ ো দ ু ল ্ য ম া ন
প ্ র ত ্ ত া ষ ি ত,প ্ র ত ্ য া শ ি ত
শ া স ্ ক শ ্ ত,শ ্ ব া স ক ষ ্ ট স হ
ক ন ্ থ া স া,ক ো ণ ঠ া স া
প া চ ্ ছ ে র,প া চ ্ ছ ে ন
ম ে গ া জ ি ন ে র,ম ্ য া গ া জ ি ন ে র
উ থ ে ছ ে ন,উ ঠ ে ছ ে ন
প ্ র স া স ্ ন ে র,প ্ র শ া স ন ে র
স া ল ্ ম া ন,স া ল ম া ন
অ ভ ি জ ু গ ত,অ ভ ি য ু ক ্ ত
উ দ ্ ধ গ ত ি,উ দ ্ য ো গ ট ি
ম ু স ্ ল ি ম ্ র া,ম ু স ল ি ম র া
আ স স ে ম ্ ব ল ্ য,অ ্ য া স ে ম ্ ব ল ি
ন ে ব ন,ন ে ব ে ন
প র য় া ন া,প র ো য় া ন া
ক া র ন ে,ম া ধ ্ য ম ে
র া ঙ,র া ন
গ ু ল ি ত ি,গ ু ল ি ট ি
শ ি শ ু ত ি,শ ি শ ু ট ি
ব া র ব া ড ো জ,ব া র ্ ব া ড ো জ
অ ধ ি ক া র,অ ধ ি ক া র ী
প ্ র থ ম ত,প ্ র থ ম ত ো
ব ি স শ,ব ি শ ্ ব ে র
আ য় া র ল া ন ্ দ ে র,আ য় া ল ্ য া ন ্ ড ে র
চ খ ে ম ু খ ে,চ ো খ ে ম ু খ ে
অ ন ু প ্ র ে ও ব ে শ ক া র ি র া,অ ন ু প ্ র ব ে শ ক া র ী র া
ত ্ র া গ ে দ ি,ট ্ র জ ি ড ি
শ া হ া দ া ত,স া হ া দ া ত
ই উ ন ি ও ন ে র,ই উ ন ি য় ন ে র
ব ি শ ব ি দ ্ দ া ল য় ে র,ব ি শ ্ ব ব ি দ ্ য া ল য় ে র
ক ল ্ প ু ন া ই,ক ল ্ প ন া য় ও
ঘ ু হ,গ ু হ
ব ি শ া ম ে র,ব ি শ ্ র া ম ে র
ম া র গ া র ি ত া,ম া র ্ গ া র ি ট া
আ ম া র,আ ব া র ো
ক র ি ম ্ ন,ক র ি ম ন
ব ই শ া খ ে র,ব ৈ শ া খ ে র
স া ক ্ ষ র,স ্ ব া ক ্ ষ র
অ ন ু স ্ থ া এ,অ ন ু ষ ্ ঠ া ন ে
দ ি চ ্ চ ে ন,দ ি চ ্ ছ ে ন
শ া ম া জ ি ক,স া ম া জ ি ক
খ ম ত া শ ি ন,ক ্ ষ ম ত া স ী ন
ম ু র গ ি,ম ু র গ ী
ক া র ন,ক র ে ন
স ি ঙ ্ গ া প ু র ে,স ি ঙ ্ গ া প ু র ে র
ক ্ র ি ক ে ত া র,ক ্ র ি ক ে ট া র
শ া ন ্ ত ি প ু র ন,শ া ন ্ ত ি প ূ র ্ ণ
ল া ই চ ে ন ্ স ধ া র ি,ল া ই স ে ন ্ স ধ া র ী
স ং খ া,স ং খ ্ য া
আ ন ু গ ত ্ ত,আ ন ু গ ত ্ য
স প থ,শ প থ
ব ে ব ি ল ন ে,ব ্ য া ব ি ল ন ে
ল া গ ি য় ে ছ ে ন,ল া গ ি য ় ে ছ ে ন
প র ি র,প র ী র
ঘ ত ন া য়,ঘ ট ন া য়
উ ও ই ক ে ত,উ ই ক ে ট
ম ন ্ ত ্ র ি স ভ া য়,ম ন ্ ত ্ র ী স ভ া য ়
ব র শ ন ে র,ব র ্ ষ ণ ে র
প ্ র শ া শ ন ি ক,প ্ র শ া স ন ি ক
ত ি ন ্ ত ি ত ে ই,ত ি ন ট ি ত ে ই
ছ া প ে র,চ া প ে র
ব ে ক ্ ত ি খ া ত ে র,ব ্ য ক ্ ত ি খ া ত ে র
ন ি উ জ ি ল ে ন ্ দ,ন ি উ জ ি ল ্ য া ন ্ ড
স ি ল া ব ৃ ষ ্ ট ি র,শ ি ল া ব ৃ ষ ্ ট ি র
শ া র ি য় ে,স া র ি য় ে
ত ত ্ থ ম র ে,ত থ ্ য ম ত ে
স ভ ি য় ে ত,স ো ভ ি য ় ে ত
ম া ক ্ স ু দ,ম া ক স ু দ
ম া শ ্ র া ফ ি,ম া শ র া ফ ি
আ ঘ ত ন া র,এ ঘ ট ন া র
ভ ি ত ্ ত ি,ভ ি ত ্ ত ি ই
প ্ র ধ শ ন ে র,প ্ র দ র ্ শ ন ে র
স ং ক ত ে,স ঙ ্ ক ট ে
ব ি স য় ে,ব ি ষ য় ে
গ ত ে ছ ি ল,ঘ ট ে ছ ি ল
ঘ ম া ই,ঘ া ম ই
প র ি ক ্ ষ া র থ ি র,প র ী ক ্ ষ া র ্ থ ী র
স ্ থ া ন ি য় র া,স ্ থ া ন ী য় র া
দ া আ ল,ড া ল
গ র জ ন,গ র ্ জ ন
ন ে ত ্ র ি ত ্ র ে র,ন ে ত ৃ ত ্ ব ে র
প ্ র ন দ ি ত,প ্ র ণ ো দ ি ত
খ া র ক,ক ্ ষ া র ক
ব ি স া ল,ব ি শ া ল
র ি ব ক ্ ক া,র ি ব ক া
ম হ র া র,ম হ ড় া র
স ি র ি এ স,স ি র ি জ
চ ে য,চ ে জ
অ ন ু শ ্ ত হ া ন,অ ন ু ষ ্ ঠ া ন
গ ্ র া ম ি ন,গ ্ র া ম ী ণ
স ্ ম ৃ দ ্ ধ ি,স ম ৃ দ ্ ধ ি
ম ্ র হ ু ম,ম র হ ু ম
প ্ র ধ া ন ম ন ্ ত ্ র ি র,প ্ র ধ া ন ম ন ্ ত ্ র ী র
প র ে ই,প র ই
দ ্ র া ই ভ ি ং,ড ্ র া ই ভ ি ং
ম ব া ই ল ে র,ম ো ব া ই ল ে র
ক ে চ,ক ্ য া চ
স ং গ ্ র হ ে,স ং গ ্ র হ
গ ত ন া ব হ ু ল,ঘ ট ন া ব হ ু ল
ব ি চ া র প ্ র া র ্ থ ি,ব ি চ া র প ্ র া র ্ থ ী
দ ে শ জ ু র ে,দ ে শ জ ু ড় ে
ড া ক া য়,ঢ া ক া য ়
হ া ল ্ ক া ভ া ব ে,হ া ল ক া ভ া ব ে
খ া ঙ ্ ক ে,খ া ন ক ে
দ া ড় া ত ে,দ া ঁ ড় া ত ে
ঈ উ ন ি ও ন,ই উ ন ি য় ন ে র
থ া ক ্ ত,থ া ক ত ো
আ চ র ন,আ চ র ণ
ড ে ই র ী,ড ে ই র ি
প ্ র ত ি শ ঠ ি ত,প ্ র ত ি ষ ্ ঠ ি ত
ব ই দ ু ত ি ক,ব ৈ দ ্ য ু ত ি ক
শ ি ক ্ ত ি গ ু ল ক ে,শ ক ্ ত ি গ ু ল ো ক ে
জ ু দ ্ ধ ব ি দ ্ দ স ্ ত,য ু দ ্ ধ ব ি ধ ্ ব স ্ ত
র য় ত া র স ে ক ে,র য় ট া র ্ স ক ে
ন া ম ্ ব ি য় া ক ে,ন া ম ি ব ি য় া ক ে
ব ি স শ ব া প ি,ব ি শ ্ ব ব ্ য া প ী
আ ব ে ঘ ন,আ ব ে গ ঘ ন
ক া ক ্ স ি গ ত,ক া ক ্ স ি ক ্ ষ ত
স ্ র ম ি ক দ ে র,শ ্ র ম ি ক দ ে র
আ ম ি ত,অ ম ি ত
ছ র ম ্ ব া ব ে,চ র ম ভ া ব ে
ই ব ্ র া হ ি ম,ই ব ্ র া হ ী ম
ভ া ব ছ ি ল ে ন,ভ ে ব ে ছ ি ল ে ন
চ ল ি ত,চ ল ত ি
ক ু র া ন,ক ু র আ ন
প ে ন স ন,প ে ন শ ন
অ ন ু শ ন ্ ধ া ন ে,অ ন ু স ন ্ ধ া ন ে
আ ফ গ া ন ্ র া,আ ফ গ া ন র া
প থ ি,প থ ই
ন ি ত ি ক ে,ন ী ত ি ক ে
ম হ া র া শ ্ ত ্ র,ম হ া র া ষ ্ ট ্ র
ক প ম ে,ক ম ে
ই ন ি ন ্ স ে র,ই ন ি ং স ে র
ব ু দ ্ গ ে ত,ব া জ ে ট
স ু ন ত ে,শ ু ন ত ে
প ন ্ দ ি ত,প ণ ্ ড ি ত
দ া প ত ে র,দ া প ট ে র
অ ব া স ্ থ ব,অ ব া স ্ ত ব
উ ল ্ ল ে ক ্ ষ,উ ল ্ ল ে খ ্ য
স ি ত ্ য া র ি ঙ ্ গ ে,স ি ট য় া র ি ং য় ে
এ ছ া র া,এ ছ া ড় া
গ ্ ল া ব স,গ ্ ল া ভ স
ও র ন া,ও ড় ন া
স ত র ক র,স ত র ্ ক
ন ি ত ি র,ন ী ত ি র
স ্ ম য় ম ত,স ম য় ম ত ো
হ এ ছ ি ল,হ য় ে ছ ি ল
গ ল ্ র ক ্ ষ ক,গ ো ল র ক ্ ষ ক
প ক ্ ষ প া ত ি ত ্ ত,প ক ্ ষ প া ত ি ত ্ ব
শ ি ক া র ি র া,শ ি ক া র ী র া
ম া ন ে ন ্ ন ি,ম া ন ে ন ন ি
ম ত,ম ত ে া
স ং খ া য়,স ং খ ্ য া য়
হ ত ্ য া ক া ন ্ দ,হ ত ্ য া ক া ণ ্ ড
ন ি র ব া ছ ল,ন ি র ্ ব া চ ন
অ ন ্ ন া ন ্ য,অ ন ্ য া ন ্ য
ক র ে,ক র ে ন
ব স র,ব ছ র
স ্ র ি স ্ ত ি ক া র ি,স ৃ ষ ্ ট ি ক া র ী
ল স ে ফ ে র,ল ো স ে ফ ে র
ই উ ন ি স া র ত,ই উ ন ি স া র ্ ট
প ্ র া উ গ ্ ন,প ্ র া ঙ ্ গ ন
ন া ত ্ র ি ত ্ ত,ন ে ত ৃ ত ্ ব
আ স া ত া,আ স া ট া
ছ ্ র ে ন ি ত ে,শ ্ র ে ণ ী ত ে
দ য় া,ধ ো ঁ য় া
ক া স ্ ত,ক া স ্ ট
আ স ্ র,আ স র
ন ি ব ্ র ি ত,ন ি ব ৃ ত
দ া গ ি দ ে,ত া গ ি দ ে
ছ র া শ ি ক া র,চ ো র া শ ি ক া র
চ ে য় র ম ্ য া ঙ ্ ক ে,চ ে য় া র ম ্ য া ন ক ে
শ ম ্ প দ ে র,স ম ্ প দ ে র
ক ত া হ,ক থ া
ম ত,ম ো ট
স ত ্ ত ে র,স ত ্ য ে র
প উ ছ ে,প ৌ ঁ ছ ে
প ্ র া ই,প ্ র া য ়
আ ন ্ ত জ া ত ি ক,আ ন ্ ত র ্ জ া ত ি ক
এ র ু প,এ র ূ প
আ শ ্ ছ ে,আ স ছ ে
প ্ র ত া শ া,প ্ র ত ্ য া শ া
ই ন ্ স ু ল ি ন ে র,ই ন স ু ল ি ন ে র
ম ম ি ন ে র,ম ো ম ি ন ে র
ম ে ঘ ্ ন া র,ম ে ঘ ন া র
র ু ত,র ু ট
ন গ র ি,ন গ র ী
ঋ ন ে র,ঋ ণ ে র
ন ী ত ে,ন ি ত ে
ফ ল া ফ ল ি,ফ ল া ফ ল ই
ও ই শ ব,ও ই স ব
হ স া ন,হ ো স ে ন
ব শ ে ন ্ ন ি,ব স ে ন ন ি
প া র থ ি,প ্ র া র ্ থ ী
গ া জ ি প ু র ে র,গ া জ ী প ু র ে র
ব প ্ স হ ে ন,ব স ে ন
শ া ত ট ি,স া ত ট ি
ছ ু র ি র,চ ু র ি র
জ য় হ ি ন,জ য় হ ী ন
অ ন ্ ন দ ি ক ে,অ ন ্ য দ ি ক ে
ক র ে ছ ি,ক র ছ ি
স া ই দ া ক ে,স া ই য় া দ া ক ে
দ া র ি,দ া ড ় ি
শ হ জ ল ভ ভ,স হ জ ল ভ ্ য
য া র ্ ব,র ্ য া ব
প া ল ত া,প া ল ্ ট া
দ ্ র া ই ভ ে র,ড ্ র া ই ভ া র
স ু ব ি ধ া ব ঞ ্ ছ ি ত,স ু ব ি ধ া ব ঞ ্ চ ি ত
দ া ই ন ি ং,ড া ই ন ি ং
স ে হ ে,শ ে ষ ে
ক ম া ন,ক ম া ন ো
ই ন ্ স ত া গ ্ র া ম ে,ই স ্ ট া গ ্ র া ম ে
উ ই প ি,ই উ প ি
ক র া আ,ক র া
ন ি র জ া ত ন,ন ি র ্ য া ত ন
অ প র া দ ে র,অ প র া ধ ে র
শ ং শ ত া র,স হ ি ং স ত া র
ম ্ র ি ত ্ ত ু,ম ৃ ত ্ য ু
প ু জ ি,প ু ঁ জ ি
জ ি ত ছ ে,জ ি ত ে ছ ে
ছ র া ন,ছ ড় া ন ো
ই স ্ ল া ম া ব া দ ে,ই স ল া ম া ব া দ ে
শ া র ি র ি র ক,শ া র ী র ি ক
ন ু ই য় ন ্ ত ্ র ি ত,ন ি য় ন ্ ত ্ র ি ত
র ে ঙ ্ ক ি ঙ ্ গ ে,ব ় ্ য া ঙ ্ ক ি ং য় ে
স ্ ক া র ফ,স ্ ক া র ্ ফ
ম য় ম ন শ ি ঙ হ,ম য় ম ন স ি ং হ ে র
হ ম,হ ো ম
অ প শ া র ন ে র,অ প স া র ণ ে র
প র ি শ ধ ে,প র ি ষ দ ে
স ং ঘ ত ন,স ং গ ঠ ন
ব া দ ্ ধ ত া ম ু ল ক,ব া ধ ্ য ত া ম ূ ল ক
ফ ু ত ে জ,ফ ু ট ে জ
জ ু ক ্ ত ্ র া স ্ ত ্ র শ হ,য ু ক ্ ত র া ষ ্ ট ্ র স হ
এ ক ঈ,এ ক ই
৩ স ৎ,৩ শ ত
দ ল ে ন,দ ল ে র
ল ন ঘ ্ ন,ল ঙ ্ ঘ ন
ম হ া স র ক ে,ম হ া স ড় ক ে
ধ ন ি র,ধ ো ন ি র
আ ত ন ক ে,আ ত ঙ ্ ক ে
হ য় ন ি,হ য ় ন ি
ম ে ক ্ স,ম ্ য া ক ্ স
দ ে ই,দ ে য়
এ র ি ম ধ ধ ে,এ র ই ম ধ ্ য ে
ম ন ্ র ো,ম ন র ো
ক র ছ ে ন,ক র ে ছ ে ন
জ ি ব ্ দ দ ষ া য়,জ ী ব দ ্ দ শ া য়
আ প ্ প ল ি এ দ,অ ্ য া প ্ ল া ই ড
স া ধ ন া,স া ন ্ ত ন া
ব ি প র জ য় ে র,ব ি প র ্ য য় ে র
স ি ম া ন া,স ী ম া ন া
হ উ,হ ও
ম ্ র ি ত ে র,ম ৃ ত ে র
স র ক জ,স ড় ক
ন ি র ি ক ্ ক া,ন ি র ী ক ্ ষ া
দ ু ত ি ত ে ই,দ ু ট ি ত ে ই
প র ত ে ও,প ড় ত ে
আ ও য় ম ি,আ ও য় া ম ী
ক র শ ্ ত ই,ক ষ ্ ট ই
ব ি স ্ র ঙ ্ খ ল া র,ব ি শ ৃ ঙ ্ খ ল া র
উ ত স ব,উ ৎ স ব
উ থ ল,উ ঠ ল
স জ ু জ গ,স ু য ো গ
ব ি স স া শ ক ে,ব ি শ ্ ব া স ক ে
ভ ই ও ং ক র,ভ য় ঙ ্ ক র
ন ি স ছ ি ত,ন ি শ ্ চ ি ত
ফ ্ র ি ক,ফ ্ র ি
এ ন ্ দ ি,এ ন ড ি
ক ি ত ু,ক ি ন ্ ত ু
ক র,ক র ো
ণ ব া ব,ন ব া ব
ক র ে,দ র ে
ন ি র ্ ম া ন,ন ি র ্ ম া ণ
উ প ক র ন,উ প ক র ণ
প র া র,প ড ় া র
খ া ত ি এ,খ ত ি য় ে
ন ি য় ে,ন ি ত ে
ম ু ল ্ প র ব,ম ূ ল প র ্ ব
ক র ি ব া জ,ক ব ি র া জ
খ ত ্ র ে,ক ্ ষ ে ত ্ র ে
ক ে ন ্ ধ ্ র,ক ে ন ্ দ ্ র
খ ে ল ব,খ ে ল ব ো
অ ব শ ্ ত হ া,ব ্ য ব স ্ থ া
ন র ত ্ ত ম,ন র ো ত ্ ত ম
অ য় া হ া ব,ও য় া হ া ব
ক ি উ এ র া,ক ি উ ই র া
গ ৈ র ী দ ে ব ি র,গ ৌ র ী দ ে ব ী র
জ া স ি ন ্ দ া,জ া স ি ন ্ ড া
উ দ ্ দ গ,উ দ ্ য ো গ
ধ ু ল ব া ল ি ত ে,ধ ু ল ো ব া ল ি ত ে
ন া ছ া র,ন ্ য া চ া র
গ ন প ি ত ু ন ি র,গ ণ প ি ট ু ন ি র
ম ন ো ম া ম ি ন ্ য,ম ন ো ম া ল ি ন ্ য
ম ন ো স ্ ত া ত ্ ত ি ক,ম ন ো স ্ ত া ত ্ ত ্ ব ি ক
দ ু ই দ ে শ ি,দ ু দ ে শ ে ই
ক ু র ম ি ত ল া,ক ু র ্ ম ি ট ো ল া
হ য় ে ছ ে ন,হ য় ে ছ ে
স ি ম ন ্ স ো,স ি ম ন ্ স ও
দ ্ র ি শ ্ য ত,দ ৃ শ ্ য ত
র া জ ন ৌ ত ি ক,র া জ ন ৈ ত ি ক
প উ চ ি য় ে ছ ে,প ৌ ঁ ছ ি য় ে ছ ে
দ া ই,দ া য়
অ স ি,ও স ি
র ে জ া উ ও ল,র ে জ া উ ল
প ত ি ব া দ,প ্ র ত ি ব া দ
খ া চ া র,খ া ঁ চ া র
স া র ি র ি ক,শ া র ী র ি ক
ব র স ব ি দ া য় ে র,ব র ্ ষ ব ি দ া য় ে র
জ া স ছ ে,য া চ ্ ছ ে
ব া ল ে স শ র ি,ব ল ে শ ্ ব র
স র ব র া হ ক া র ি,স র ব র া হ ক া র ী
ব ্ র ি দ ্ দ ি,ব ৃ দ ্ ধ ি
উ ৎ ক ন ্ ঠ া য়,উ ৎ ক ণ ্ ঠ া য়
প ্ র া ই,প ্ র া য়
ত ত ্ থ ম ন ্ ত ্ র ি,ত থ ্ য ম ন ্ ত ্ র ী
শ ু ত ্ র ে,স ূ ত ্ র ে
এ ই দ ে র,ঈ দ ে র
স ্ প র ধ া,স ্ প র ্ ধ া
স ম ন ্ ন য়,স ম ন ্ ব য়
অ ভ ি জ া ন,অ ভ ি য া ন ে
ক ু র ি য় ে ছ ি ল ে ন,ক ু ড় ি য় ে ছ ি ল ে ন
এ ব ি দ ি,এ ব ি ড ি
এ ং ল া ন ্ দ,ই ং ল ্ য া ন ্ ড ে
প র জ ব ে ক ্ ষ ন,প র ্ য ব ে ক ্ ষ ণ
স ি ল ্ প ম ন ্ ত ্ র ি,শ ি ল ্ প ম ন ্ ত ্ র ী
ক ন ্ থ শ ি ল ্ প ি,ক ণ ্ ঠ শ ি ল ্ প ী
চ ্ র ি চ ক ে ত া র ্ ব,ক ্ র ি ক ে ট া র ও
প ্ র ক ্ ষ া ত,প ্ র খ ্ য া ত
শ ু ক ্ ক ু ব া র,শ ু ক ্ র ব া র
শ ু ব ি দ া,স ু ব ি ধ া
